name,coil_type,x,y,z,ex_x,ex_y,ex_z,ey_x,ey_y,ey_z,ez_x,ez_y,ez_z
MEG 0422,3012,-0.052600,0.040600,0.095200,-0.874970,-0.019699,-0.483783,-0.054998,-0.988666,0.139695,-0.481052,0.148836,0.863970
MEG 0423,3012,-0.052600,0.040600,0.095200,-0.054998,-0.988666,0.139695,0.874970,0.019699,0.483783,-0.481052,0.148836,0.863970
MEG 0421,3024,-0.052600,0.040600,0.095200,-0.874970,-0.019699,-0.483783,-0.054998,-0.988666,0.139695,-0.481052,0.148836,0.863970
MEG 0432,3012,-0.053700,0.005900,0.096900,-0.870267,-0.017799,-0.492081,0.028999,-0.999462,-0.015299,-0.491545,-0.027584,0.870315
MEG 0433,3012,-0.053700,0.005900,0.096900,0.028999,-0.999462,-0.015299,0.870267,0.017799,0.492081,-0.491545,-0.027584,0.870315
MEG 0431,3024,-0.053700,0.005900,0.096900,-0.870267,-0.017799,-0.492081,0.028999,-0.999462,-0.015299,-0.491545,-0.027584,0.870315
MEG 0443,3012,-0.082900,0.006200,0.072800,-0.647316,0.002100,-0.762219,0.043201,-0.998325,-0.039401,-0.761025,-0.058434,0.646141
MEG 0442,3012,-0.082900,0.006200,0.072800,0.043201,-0.998325,-0.039401,0.647316,-0.002100,0.762219,-0.761025,-0.058434,0.646141
MEG 0441,3024,-0.082900,0.006200,0.072800,-0.647316,0.002100,-0.762219,0.043201,-0.998325,-0.039401,-0.761025,-0.058434,0.646141
MEG 0513,3012,-0.063700,0.125400,0.013600,0.019400,0.216900,-0.976001,-0.783501,-0.603001,-0.149600,-0.620977,0.767600,0.158243
MEG 0512,3012,-0.063700,0.125400,0.013600,-0.783501,-0.603001,-0.149600,-0.019400,-0.216900,0.976001,-0.620977,0.767600,0.158243
MEG 0511,3024,-0.063700,0.125400,0.013600,0.019400,0.216900,-0.976001,-0.783501,-0.603001,-0.149600,-0.620977,0.767600,0.158243
MEG 0523,3012,-0.033200,0.139700,0.017400,0.010600,0.218707,-0.975733,-0.957032,-0.280709,-0.073302,-0.289929,0.934585,0.206334
MEG 0522,3012,-0.033200,0.139700,0.017400,-0.957032,-0.280709,-0.073302,-0.010600,-0.218707,0.975733,-0.289929,0.934585,0.206334
MEG 0521,3024,-0.033200,0.139700,0.017400,0.010600,0.218707,-0.975733,-0.957032,-0.280709,-0.073302,-0.289929,0.934585,0.206334
MEG 0532,3012,-0.033700,0.127400,0.048500,-0.052299,0.470092,-0.881084,-0.962183,-0.259895,-0.081599,-0.267349,0.843497,0.465907
MEG 0533,3012,-0.033700,0.127400,0.048500,-0.962183,-0.259895,-0.081599,0.052299,-0.470092,0.881084,-0.267349,0.843497,0.465907
MEG 0531,3024,-0.033700,0.127400,0.048500,-0.052299,0.470092,-0.881084,-0.962183,-0.259895,-0.081599,-0.267349,0.843497,0.465907
MEG 0542,3012,-0.067200,0.108900,0.044300,-0.171191,0.377780,-0.909852,-0.709963,-0.687664,-0.151892,-0.683055,0.619959,0.385932
MEG 0543,3012,-0.067200,0.108900,0.044300,-0.709963,-0.687664,-0.151892,0.171191,-0.377780,0.909852,-0.683055,0.619959,0.385932
MEG 0541,3024,-0.067200,0.108900,0.044300,-0.171191,0.377780,-0.909852,-0.709963,-0.687664,-0.151892,-0.683055,0.619959,0.385932
MEG 0613,3012,-0.035800,0.104800,0.075000,-0.009500,0.770803,-0.637003,-0.954604,-0.196601,-0.223701,-0.297665,0.605960,0.737679
MEG 0612,3012,-0.035800,0.104800,0.075000,-0.954604,-0.196601,-0.223701,0.009500,-0.770803,0.637003,-0.297665,0.605960,0.737679
MEG 0611,3024,-0.035800,0.104800,0.075000,-0.009500,0.770803,-0.637003,-0.954604,-0.196601,-0.223701,-0.297665,0.605960,0.737679
MEG 0622,3012,0.000100,0.077500,0.096700,0.000200,0.917700,-0.397400,-1.000000,0.000400,0.000200,0.000342,0.397400,0.917700
MEG 0623,3012,0.000100,0.077500,0.096700,-1.000000,0.000400,0.000200,-0.000200,-0.917700,0.397400,0.000342,0.397400,0.917700
MEG 0621,3024,0.000100,0.077500,0.096700,0.000200,0.917700,-0.397400,-1.000000,0.000400,0.000200,0.000342,0.397400,0.917700
MEG 0633,3012,-0.018400,0.044000,0.106300,0.006700,0.983663,-0.179893,-0.990063,-0.018599,-0.139095,-0.140168,0.179038,0.973764
MEG 0632,3012,-0.018400,0.044000,0.106300,-0.990063,-0.018599,-0.139095,-0.006700,-0.983663,0.179893,-0.140168,0.179038,0.973764
MEG 0631,3024,-0.018400,0.044000,0.106300,0.006700,0.983663,-0.179893,-0.990063,-0.018599,-0.139095,-0.140168,0.179038,0.973764
MEG 0642,3012,-0.036800,0.075300,0.092200,-0.025099,0.896459,-0.442380,-0.950857,-0.157993,-0.266288,-0.308609,0.413957,0.856370
MEG 0643,3012,-0.036800,0.075300,0.092200,-0.950857,-0.157993,-0.266288,0.025099,-0.896459,0.442380,-0.308609,0.413957,0.856370
MEG 0641,3024,-0.036800,0.075300,0.092200,-0.025099,0.896459,-0.442380,-0.950857,-0.157993,-0.266288,-0.308609,0.413957,0.856370
MEG 0713,3012,-0.018500,0.010500,0.109600,-0.990008,-0.012000,-0.140501,0.013700,-0.999808,-0.011400,-0.140337,-0.013211,0.989982
MEG 0712,3012,-0.018500,0.010500,0.109600,0.013700,-0.999808,-0.011400,0.990008,0.012000,0.140501,-0.140337,-0.013211,0.989982
MEG 0711,3024,-0.018500,0.010500,0.109600,-0.990008,-0.012000,-0.140501,0.013700,-0.999808,-0.011400,-0.140337,-0.013211,0.989982
MEG 0723,3012,0.018600,0.010500,0.109600,0.988752,-0.007200,-0.149393,0.001100,0.999151,-0.040798,0.149560,0.040175,0.987921
MEG 0722,3012,0.018600,0.010500,0.109600,0.001100,0.999151,-0.040798,-0.988752,0.007200,0.149393,0.149560,0.040175,0.987921
MEG 0721,3024,0.018600,0.010500,0.109600,0.988752,-0.007200,-0.149393,0.001100,0.999151,-0.040798,0.149560,0.040175,0.987921
MEG 0733,3012,0.018600,-0.023300,0.105900,-0.036600,-0.970305,-0.239101,0.987205,0.002100,-0.159701,0.155461,-0.241887,0.957812
MEG 0732,3012,0.018600,-0.023300,0.105900,0.987205,0.002100,-0.159701,0.036600,0.970305,0.239101,0.155461,-0.241887,0.957812
MEG 0731,3024,0.018600,-0.023300,0.105900,-0.036600,-0.970305,-0.239101,0.987205,0.002100,-0.159701,0.155461,-0.241887,0.957812
MEG 0743,3012,-0.018500,-0.023700,0.105800,0.039398,-0.969753,-0.240888,0.992852,0.010799,0.118594,-0.112406,-0.243839,0.963246
MEG 0742,3012,-0.018500,-0.023700,0.105800,0.992852,0.010799,0.118594,-0.039398,0.969753,0.240888,-0.112406,-0.243839,0.963246
MEG 0741,3024,-0.018500,-0.023700,0.105800,0.039398,-0.969753,-0.240888,0.992852,0.010799,0.118594,-0.112406,-0.243839,0.963246
MEG 0813,3012,0.000100,0.144500,0.018700,-0.000300,0.251701,-0.967805,-0.999905,-0.012100,-0.002800,-0.012415,0.967712,0.251681
MEG 0812,3012,0.000100,0.144500,0.018700,-0.999905,-0.012100,-0.002800,0.000300,-0.251701,0.967805,-0.012415,0.967712,0.251681
MEG 0811,3024,0.000100,0.144500,0.018700,-0.000300,0.251701,-0.967805,-0.999905,-0.012100,-0.002800,-0.012415,0.967712,0.251681
MEG 0822,3012,0.000100,0.131600,0.050000,0.000700,0.499200,-0.866500,-1.000000,0.000900,-0.000200,0.000680,0.866500,0.499200
MEG 0823,3012,0.000100,0.131600,0.050000,-1.000000,0.000900,-0.000200,-0.000700,-0.499200,0.866500,0.000680,0.866500,0.499200
MEG 0821,3024,0.000100,0.131600,0.050000,0.000700,0.499200,-0.866500,-1.000000,0.000900,-0.000200,0.000680,0.866500,0.499200
MEG 0913,3012,0.033100,0.139700,0.017300,-0.005300,0.236504,-0.971616,-0.964716,0.254804,0.067301,0.263489,0.937690,0.226809
MEG 0912,3012,0.033100,0.139700,0.017300,-0.964716,0.254804,0.067301,0.005300,-0.236504,0.971616,0.263489,0.937690,0.226809
MEG 0911,3024,0.033100,0.139700,0.017300,-0.005300,0.236504,-0.971616,-0.964716,0.254804,0.067301,0.263489,0.937690,0.226809
MEG 0923,3012,0.063800,0.125300,0.013500,-0.022801,0.216906,-0.975926,-0.792421,0.591316,0.150004,0.609617,0.776765,0.158398
MEG 0922,3012,0.063800,0.125300,0.013500,-0.792421,0.591316,0.150004,0.022801,-0.216906,0.975926,0.609617,0.776765,0.158398
MEG 0921,3024,0.063800,0.125300,0.013500,-0.022801,0.216906,-0.975926,-0.792421,0.591316,0.150004,0.609617,0.776765,0.158398
MEG 0932,3012,0.067100,0.108800,0.044400,0.174311,0.376424,-0.909958,-0.709645,0.688644,0.148909,0.682690,0.619790,0.387165
MEG 0933,3012,0.067100,0.108800,0.044400,-0.709645,0.688644,0.148909,-0.174311,-0.376424,0.909958,0.682690,0.619790,0.387165
MEG 0931,3024,0.067100,0.108800,0.044400,0.174311,0.376424,-0.909958,-0.709645,0.688644,0.148909,0.682690,0.619790,0.387165
MEG 0942,3012,0.033800,0.127300,0.048600,0.055602,0.468914,-0.881527,-0.961529,0.263008,0.079302,0.269035,0.843204,0.465498
MEG 0943,3012,0.033800,0.127300,0.048600,-0.961529,0.263008,0.079302,-0.055602,-0.468914,0.881527,0.269035,0.843204,0.465498
MEG 0941,3024,0.033800,0.127300,0.048600,0.055602,0.468914,-0.881527,-0.961529,0.263008,0.079302,0.269035,0.843204,0.465498
MEG 1013,3012,0.000100,0.109300,0.077100,0.000900,0.759320,-0.650717,-0.999826,-0.013800,-0.017400,-0.022193,0.650620,0.759175
MEG 1012,3012,0.000100,0.109300,0.077100,-0.999826,-0.013800,-0.017400,-0.000900,-0.759320,0.650717,-0.022193,0.650620,0.759175
MEG 1011,3024,0.000100,0.109300,0.077100,0.000900,0.759320,-0.650717,-0.999826,-0.013800,-0.017400,-0.022193,0.650620,0.759175
MEG 1023,3012,0.035800,0.104800,0.075000,0.006800,0.768236,-0.640130,-0.964046,0.175308,0.200109,0.265951,0.615754,0.741807
MEG 1022,3012,0.035800,0.104800,0.075000,-0.964046,0.175308,0.200109,-0.006800,-0.768236,0.640130,0.265951,0.615754,0.741807
MEG 1021,3024,0.035800,0.104800,0.075000,0.006800,0.768236,-0.640130,-0.964046,0.175308,0.200109,0.265951,0.615754,0.741807
MEG 1032,3012,0.036800,0.075200,0.092300,0.029199,0.895982,-0.442991,-0.950980,0.161397,0.263795,0.307852,0.413573,0.856774
MEG 1033,3012,0.036800,0.075200,0.092300,-0.950980,0.161397,0.263795,-0.029199,-0.895982,0.442991,0.307852,0.413573,0.856774
MEG 1031,3024,0.036800,0.075200,0.092300,0.029199,0.895982,-0.442991,-0.950980,0.161397,0.263795,0.307852,0.413573,0.856774
MEG 1043,3012,0.018400,0.044200,0.106200,-0.013699,0.979661,-0.200192,-0.993160,0.009900,0.116395,0.116010,0.200417,0.972825
MEG 1042,3012,0.018400,0.044200,0.106200,-0.993160,0.009900,0.116395,0.013699,-0.979661,0.200192,0.116010,0.200417,0.972825
MEG 1041,3024,0.018400,0.044200,0.106200,-0.013699,0.979661,-0.200192,-0.993160,0.009900,0.116395,0.116010,0.200417,0.972825
MEG 1112,3012,0.052500,0.040600,0.095300,0.875761,-0.017599,-0.482379,-0.056398,0.988756,-0.138494,0.479392,0.148493,0.864922
MEG 1113,3012,0.052500,0.040600,0.095300,-0.056398,0.988756,-0.138494,-0.875761,0.017599,0.482379,0.479392,0.148493,0.864922
MEG 1111,3024,0.052500,0.040600,0.095300,0.875761,-0.017599,-0.482379,-0.056398,0.988756,-0.138494,0.479392,0.148493,0.864922
MEG 1123,3012,0.080900,0.041300,0.072100,0.643867,0.052097,-0.763361,-0.171791,0.981950,-0.077896,0.745525,0.181294,0.641196
MEG 1122,3012,0.080900,0.041300,0.072100,-0.171791,0.981950,-0.077896,-0.643867,-0.052097,0.763361,0.745525,0.181294,0.641196
MEG 1121,3024,0.080900,0.041300,0.072100,0.643867,0.052097,-0.763361,-0.171791,0.981950,-0.077896,0.745525,0.181294,0.641196
MEG 1133,3012,0.082800,0.006100,0.072800,0.645314,0.000600,-0.763917,0.011100,0.999922,0.010200,0.763864,-0.015062,0.645257
MEG 1132,3012,0.082800,0.006100,0.072800,0.011100,0.999922,0.010200,-0.645314,-0.000600,0.763917,0.763864,-0.015062,0.645257
MEG 1131,3024,0.082800,0.006100,0.072800,0.645314,0.000600,-0.763917,0.011100,0.999922,0.010200,0.763864,-0.015062,0.645257
MEG 1142,3012,0.053500,0.006200,0.097000,0.871295,-0.018300,-0.490397,0.028700,0.999494,0.013700,0.489898,-0.026011,0.871379
MEG 1143,3012,0.053500,0.006200,0.097000,0.028700,0.999494,0.013700,-0.871295,0.018300,0.490397,0.489898,-0.026011,0.871379
MEG 1141,3024,0.053500,0.006200,0.097000,0.871295,-0.018300,-0.490397,0.028700,0.999494,0.013700,0.489898,-0.026011,0.871379
MEG 1213,3012,0.086200,0.098600,0.008900,0.046901,0.120402,-0.991617,-0.502008,0.861115,0.080801,0.863624,0.494010,0.100830
MEG 1212,3012,0.086200,0.098600,0.008900,-0.502008,0.861115,0.080801,-0.046901,-0.120402,0.991617,0.863624,0.494010,0.100830
MEG 1211,3024,0.086200,0.098600,0.008900,0.046901,0.120402,-0.991617,-0.502008,0.861115,0.080801,0.863624,0.494010,0.100830
MEG 1223,3012,0.100300,0.066000,0.008200,0.067403,0.027601,-0.997344,-0.315514,0.948942,0.005000,0.946559,0.314339,0.072670
MEG 1222,3012,0.100300,0.066000,0.008200,-0.315514,0.948942,0.005000,-0.067403,-0.027601,0.997344,0.946559,0.314339,0.072670
MEG 1221,3024,0.100300,0.066000,0.008200,0.067403,0.027601,-0.997344,-0.315514,0.948942,0.005000,0.946559,0.314339,0.072670
MEG 1232,3012,0.088700,0.075700,0.041200,0.351800,0.119000,-0.928499,-0.371200,0.928299,-0.021700,0.859343,0.352293,0.370748
MEG 1233,3012,0.088700,0.075700,0.041200,-0.371200,0.928299,-0.021700,-0.351800,-0.119000,0.928499,0.859343,0.352293,0.370748
MEG 1231,3024,0.088700,0.075700,0.041200,0.351800,0.119000,-0.928499,-0.371200,0.928299,-0.021700,0.859343,0.352293,0.370748
MEG 1243,3012,0.069900,0.075800,0.070900,0.612621,0.238208,-0.753626,-0.425815,0.902831,-0.060702,0.665937,0.358092,0.654526
MEG 1242,3012,0.069900,0.075800,0.070900,-0.425815,0.902831,-0.060702,-0.612621,-0.238208,0.753626,0.665937,0.358092,0.654526
MEG 1241,3024,0.069900,0.075800,0.070900,0.612621,0.238208,-0.753626,-0.425815,0.902831,-0.060702,0.665937,0.358092,0.654526
MEG 1312,3012,0.098900,0.040400,0.041300,0.343005,0.060601,-0.937414,-0.162403,0.986715,0.004300,0.925222,0.150764,0.348290
MEG 1313,3012,0.098900,0.040400,0.041300,-0.162403,0.986715,0.004300,-0.343005,-0.060601,0.937414,0.925222,0.150764,0.348290
MEG 1311,3024,0.098900,0.040400,0.041300,0.343005,0.060601,-0.937414,-0.162403,0.986715,0.004300,0.925222,0.150764,0.348290
MEG 1323,3012,0.107400,0.032900,0.008100,0.062598,0.011400,-0.997974,-0.129597,0.991574,0.003200,0.989601,0.129134,0.063548
MEG 1322,3012,0.107400,0.032900,0.008100,-0.129597,0.991574,0.003200,-0.062598,-0.011400,0.997974,0.989601,0.129134,0.063548
MEG 1321,3024,0.107400,0.032900,0.008100,0.062598,0.011400,-0.997974,-0.129597,0.991574,0.003200,0.989601,0.129134,0.063548
MEG 1333,3012,0.108300,-0.001100,0.006800,0.050900,-0.002300,-0.998701,0.060100,0.998201,0.000800,0.996903,-0.060063,0.050947
MEG 1332,3012,0.108300,-0.001100,0.006800,0.060100,0.998201,0.000800,-0.050900,0.002300,0.998701,0.996903,-0.060063,0.050947
MEG 1331,3024,0.108300,-0.001100,0.006800,0.050900,-0.002300,-0.998701,0.060100,0.998201,0.000800,0.996903,-0.060063,0.050947
MEG 1342,3012,0.101000,0.004400,0.041000,0.353004,0.007800,-0.935611,0.038200,0.999012,0.022700,0.934864,-0.043754,0.352358
MEG 1343,3012,0.101000,0.004400,0.041000,0.038200,0.999012,0.022700,-0.353004,-0.007800,0.935611,0.934864,-0.043754,0.352358
MEG 1341,3024,0.101000,0.004400,0.041000,0.353004,0.007800,-0.935611,0.038200,0.999012,0.022700,0.934864,-0.043754,0.352358
MEG 1412,3012,0.102000,0.063000,-0.026000,-0.014301,0.003500,-0.999948,-0.281114,0.959646,0.007400,0.959622,0.281205,-0.012740
MEG 1413,3012,0.102000,0.063000,-0.026000,-0.281114,0.959646,0.007400,0.014301,-0.003500,0.999948,0.959622,0.281205,-0.012740
MEG 1411,3024,0.102000,0.063000,-0.026000,-0.014301,0.003500,-0.999948,-0.281114,0.959646,0.007400,0.959622,0.281205,-0.012740
MEG 1423,3012,0.106500,0.046900,-0.060000,0.012000,0.008300,-0.999894,-0.179699,0.983694,0.006000,0.983639,0.179608,0.013296
MEG 1422,3012,0.106500,0.046900,-0.060000,-0.179699,0.983694,0.006000,-0.012000,-0.008300,0.999894,0.983639,0.179608,0.013296
MEG 1421,3024,0.106500,0.046900,-0.060000,0.012000,0.008300,-0.999894,-0.179699,0.983694,0.006000,0.983639,0.179608,0.013296
MEG 1433,3012,0.109800,0.013100,-0.062200,0.012400,0.004400,-0.999913,-0.012800,0.999913,0.004200,0.999845,0.012747,0.012455
MEG 1432,3012,0.109800,0.013100,-0.062200,-0.012800,0.999913,0.004200,-0.012400,-0.004400,0.999913,0.999845,0.012747,0.012455
MEG 1431,3024,0.109800,0.013100,-0.062200,0.012400,0.004400,-0.999913,-0.012800,0.999913,0.004200,0.999845,0.012747,0.012455
MEG 1442,3012,0.108300,0.030100,-0.026200,-0.009900,0.004100,-0.999888,-0.095799,0.995388,0.005100,0.995297,0.095839,-0.009461
MEG 1443,3012,0.108300,0.030100,-0.026200,-0.095799,0.995388,0.005100,0.009900,-0.004100,0.999888,0.995297,0.095839,-0.009461
MEG 1441,3024,0.108300,0.030100,-0.026200,-0.009900,0.004100,-0.999888,-0.095799,0.995388,0.005100,0.995297,0.095839,-0.009461
MEG 1512,3012,-0.108800,-0.003200,-0.028400,0.020599,0.000800,-0.999771,0.080298,-0.996771,0.000800,-0.996541,-0.080296,-0.020597
MEG 1513,3012,-0.108800,-0.003200,-0.028400,0.080298,-0.996771,0.000800,-0.020599,-0.000800,0.999771,-0.996541,-0.080296,-0.020597
MEG 1511,3024,-0.108800,-0.003200,-0.028400,0.020599,0.000800,-0.999771,0.080298,-0.996771,0.000800,-0.996541,-0.080296,-0.020597
MEG 1522,3012,-0.101700,-0.036000,-0.028100,0.028399,0.002900,-0.999575,0.340892,-0.940077,0.007000,-0.939657,-0.340945,-0.027686
MEG 1523,3012,-0.101700,-0.036000,-0.028100,0.340892,-0.940077,0.007000,-0.028399,-0.002900,0.999575,-0.939657,-0.340945,-0.027686
MEG 1521,3024,-0.101700,-0.036000,-0.028100,0.028399,0.002900,-0.999575,0.340892,-0.940077,0.007000,-0.939657,-0.340945,-0.027686
MEG 1533,3012,-0.095100,-0.052400,-0.062300,-0.014600,0.000600,-0.999893,0.465497,-0.884994,-0.007300,-0.884904,-0.465554,0.012642
MEG 1532,3012,-0.095100,-0.052400,-0.062300,0.465497,-0.884994,-0.007300,0.014600,-0.000600,0.999893,-0.884904,-0.465554,0.012642
MEG 1531,3024,-0.095100,-0.052400,-0.062300,-0.014600,0.000600,-0.999893,0.465497,-0.884994,-0.007300,-0.884904,-0.465554,0.012642
MEG 1543,3012,-0.106800,-0.020500,-0.062500,-0.013500,0.001800,-0.999907,0.201801,-0.979407,-0.004500,-0.979324,-0.201844,0.012859
MEG 1542,3012,-0.106800,-0.020500,-0.062500,0.201801,-0.979407,-0.004500,0.013500,-0.001800,0.999907,-0.979324,-0.201844,0.012859
MEG 1541,3024,-0.106800,-0.020500,-0.062500,-0.013500,0.001800,-0.999907,0.201801,-0.979407,-0.004500,-0.979324,-0.201844,0.012859
MEG 1613,3012,-0.101700,-0.033900,0.005600,-0.068397,-0.031599,-0.997158,0.340386,-0.940260,0.006500,-0.937793,-0.338974,0.075067
MEG 1612,3012,-0.101700,-0.033900,0.005600,0.340386,-0.940260,0.006500,0.068397,0.031599,0.997158,-0.937793,-0.338974,0.075067
MEG 1611,3024,-0.101700,-0.033900,0.005600,-0.068397,-0.031599,-0.997158,0.340386,-0.940260,0.006500,-0.937793,-0.338974,0.075067
MEG 1622,3012,-0.095200,-0.030800,0.039100,-0.325001,-0.058300,-0.943902,0.308901,-0.949902,-0.047600,-0.893840,-0.307042,0.326728
MEG 1623,3012,-0.095200,-0.030800,0.039100,0.308901,-0.949902,-0.047600,0.325001,0.058300,0.943902,-0.893840,-0.307042,0.326728
MEG 1621,3024,-0.095200,-0.030800,0.039100,-0.325001,-0.058300,-0.943902,0.308901,-0.949902,-0.047600,-0.893840,-0.307042,0.326728
MEG 1632,3012,-0.078100,-0.062800,0.039400,-0.261799,-0.201399,-0.943897,0.596898,-0.802297,0.005600,-0.758414,-0.561944,0.330256
MEG 1633,3012,-0.078100,-0.062800,0.039400,0.596898,-0.802297,0.005600,0.261799,0.201399,0.943897,-0.758414,-0.561944,0.330256
MEG 1631,3024,-0.078100,-0.062800,0.039400,-0.261799,-0.201399,-0.943897,0.596898,-0.802297,0.005600,-0.758414,-0.561944,0.330256
MEG 1643,3012,-0.086600,-0.064000,0.005500,-0.060699,-0.048399,-0.996982,0.570290,-0.821385,0.005100,-0.819153,-0.568259,0.077459
