### Table of event codes. 
# This table is also part of the specification of 
# GDF v2.x http://arxiv.org/abs/cs.DB/0608052 and 
# GDF v1.x http://pub.ist.ac.at/~schloegl/matlab/eeg/gdf4/TR_GDF.pdf
# and part of the BioSig project http://biosig.sf.net/
# Copyright (C) 2004-2015 Alois Schloegl <alois.schloegl@ist.ac.at>
# 
# BioSig is free software; you can redistribute it and/or
# modify it under the terms of the GNU General Public
# License as published by the Free Software Foundation; either
# Version 3 of the License, or (at your option) any later version.
#
# Alternative license: 
# This table of event codes can be used in any application 
# (without the restrictions of GPL) under the condition that this table 
# is not modified, changed, converted or transformed. No 
# derivative of any kind are allowed. Suggestions for improvement 
# and changes should be addressed to the author.  
#
### table of event codes: lines starting with # are omitted
### add 0x8000 to indicate the end (i.e. offset) of an event
#
# Remark concering white space characters:
# The character after the hexadecimal code (0x####) must be 
# followed by a <TAB> (i.e. \x09), the remaining part 
# may not contain any <TAB>.  
#
### 0x010_	EEG artifacts
0x0402	RERA #(Respiratory Effort Related Arousal)
0x0403	Central Apnea/Hypopnea Event (CAHE)
0x0404	CS Breathing #(Cheyne-Stokes Breathing)
0x0405	Hypoventilation 
0x0406	Apnea  
0x0407	Obstructive apnea
0x0408	Central apnea  
0x0409	Mixed apnea  
0x040A	Hypopnea  
0x040B	Periodic Breathing  
0x040C	Limb movement 
0x040D	PLMS
0x040E	(time of) maximum inspiration 
0x040F	Start of inspiration, (end of expiration) 
### 0x041_	Sleep stages according to Rechtschaffen&Kales and AASM'07
0x0410	Sleep stage Wake
0x0411	Sleep stage 1
0x0412	Sleep stage 2
0x0413	Sleep stage 3
0x0414	Sleep stage 4
0x0415	Sleep stage REM
0x0416	Sleep stage ?
0x0417	Movement time
0x0418	Bruxism
0x0419	RBD #(Rapid eye movement sleep behaviour disorder)
0x041A	RMD #(Sleep related rhythmic movement disorder)
0x041B	Sleep stage N
0x041C	Sleep stage N1
0x041D	Sleep stage N2
0x041E	Sleep stage N3
### 0x042_	Sleep
0x0420	Lights on 
#0x8420	Lights off
### 0x043_ 	Eye movements
#0x0430	[obsolete] merged with 0x0115
0x0431	eyes left
0x0432	eyes right
0x0433	eyes up
0x0434	eyes down
0x0435	horizontal eye movement
0x0436	vertical eye movement
0x0437	eye rotation (clockwise)
0x0438	eye rotation (counterclockwise)
0x0439	eye blinks
#0x043f	[obsolete] merged with 0x0114
### 0x044_ 	muscle activity (for checking on EEG artifacts)
0x0441	left hand movement
0x0442	right hand movement
0x0443	head movement
0x0444	tongue movement
0x0445	swallowing
0x0446	biting, chewing, teeth griding 
0x0447	foot movement
#0x0448	foot (right) movement
0x0449	arm movement
0x044a	arm (right) movement
### 0x050_	ECG events
0x0501	ecg:Fiducial point of QRS complex
0x0502	ecg:P-wave-onset, MDC_ECG_TIME_START_P
#0x8502	ecg:P-wave-end, MDC_ECG_TIME_END_P
0x0503	ecg:Q-wave-onset, QRS-onset, MDC_ECG_TIME_START_QRS
#0x8503 ecg:Q-wave-peak, Q-wave-end
0x0504	ecg:R-point
0x0505	ecg:S-wave-onset, S-wave-peak
#0x8505	ecg:S-wave-end, J-point, QRS-end, MDC_ECG_TIME_END_QRS
0x0506	ecg:T-wave-onset, MDC_ECG_TIME_START_T
#0x8506	ecg:T-wave-end, MDC_ECG_TIME_END_T
0x0507	ecg:U-wave-onset
#0x8507	ecg:U-wave-end
#
# related but non-concordant definitions can be found in
# - WFDB/MIT-BIH http://www.physionet.org/physiotools/wfdb/lib/ecgcodes.h
# - SCP-ECG http://www.centc251.org/TCmeet/doclist/TCdoc02/N02-015-prEN1064.pdf
# - FEF/Vital/11073 p.83
# IHSNE binary annotation segment file
#   http://thew-project.org/THEWFileFormat.htm
#   http://thew-project.org/papers/ishneAnn.pdf
# Unification is desired
#
# see also 0x2000-0x22ff: 
#   
#
### 0x058_	ergometric events 
0x0580	start
0x0581	 25 Watt
0x0582	 50 Watt
0x0583	 75 Watt
0x0584	100 Watt
0x0585	125 Watt
0x0586	150 Watt
0x0587	175 Watt
0x0588	200 Watt
0x0589	225 Watt
0x058a	250 Watt
0x058b	275 Watt
0x058c	300 Watt
0x058d	325 Watt
0x058e	350 Watt
#0x8580  end
### 0x100_	neural spikes 
#
### 0x2000-22ff	reserved for ECG events (see HL7 10102 Annotated ECG)
#
### 0x00__	user specific events
# Often, 1-127 are used for stimulus codes, and 129-255 for response code.
# the use of the following types is discouraged, because of possible ambiguities. 
#0x0000	empty event, reserved for special use
0x0001	condition 1
0x0002	condition 2
0x0003	condition 3
0x0004	condition 4
0x0005	condition 5
0x0006	condition 6
0x0007	condition 7
0x0008	condition 8
0x0009	condition 9
0x000a	condition 10
0x000b	condition 11
0x000c	condition 12
0x000d	condition 13
0x000e	condition 14
0x000f	condition 15
0x0010	condition 16
0x0011	condition 17
0x0012	condition 18
0x0013	condition 19
0x0014	condition 20
0x0015	condition 21
0x0016	condition 22
0x0017	condition 23
0x0018	condition 24
0x0019	condition 25
0x001a	condition 26
0x0020	condition 32
#
0x002f	condition 47
0x0030	condition 48
0x0031	condition 49
0x0032	condition 50
0x0033	condition 51
0x0034	condition 52
0x0035	condition 53
0x0036	condition 54
0x0037	condition 55
0x0038	condition 56
0x0039	condition 57
0x003a	condition 58
0x003b	condition 59
0x003c	condition 60
0x003d	condition 61
0x003e	condition 62
0x003f	condition 63
0x0040	condition 64
0x0041	condition 65
0x0042	condition 66
0x0046	condition 70
0x0051	condition 81
0x0052	condition 82
0x0053	condition 83
0x005b	condition 91
0x005c	condition 92
0x005d	condition 93
0x0060	condition 96
0x0063	condition 99
0x0080	condition 128
0x0081	condition 129
0x0082	condition 130
0x0084	condition 131
0x0085	condition 132
0x0086	condition 133
0x0087	condition 134
0x00a6	condition 166
0x00a7	condition 167
0x00a8	condition 168
0x00a9	condition 169
### 0x4___	up to 4096 different stimuli
### 0x7f__	special codes
0x7ffe	start of a new segment (after a break)
0x7fff	non-equidistant sampling value
# 
